Country,ISO-ALPHA-3,Latitude,Longitude
Botswana,BWA,-22.328474,24.684866
Central African Republic,CAF,6.611111,20.939444
Canada,CAN,56.130366,-106.346771
Cocos (Keeling) Islands,CCK,-12.164165,96.870956
Switzerland,CHE,46.818188,8.227512
Chile,CHL,-35.675147,-71.542969
China,CHN,35.86166,104.195397
"China, People's Republic of",CHN,35.86166,104.195397
Côte d'Ivoire,CIV,7.539989,-5.54708
Cameroon,CMR,7.369722,12.354722
"Congo, Democratic Republic of the",COD,-4.038333,21.758664
Congo [DRC],COD,-4.038333,21.758664
Zaire,ZAR,-4.038333,21.758664
Congo [Republic],COG,-0.228021,15.827659
"Congo, Republic of the",COG,-0.228021,15.827659
Congo,COG,-0.228021,15.827659
Cook Islands,COK,-21.236736,-159.777671
Colombia,COL,4.570868,-74.297333
Comoros,COM,-11.875001,43.872219
Cape Verde,CPV,16.002082,-24.013197
Costa Rica,CRI,9.748917,-83.753428
Czechoslovakia,CSK,49.096397,18.11452
Cuba,CUB,21.521757,-77.781167
Curaçao,CUW,12.186111,-68.989444
Christmas Island,CXR,-10.447525,105.690449
Cayman Islands,CYM,19.513469,-80.566956
Cyprus,CYP,35.126413,33.429859
Czech Republic,CZE,49.817492,15.472962
Czechia,CZE,49.817492,15.472962
East Germany,DDR,52.194967,12.515583
German Democratic Republic,DDR,52.194967,12.515583
Germany,DEU,51.165691,10.451526
West Germany,DEU,50.609722,8.068889
Djibouti,DJI,11.825138,42.590275
Dominica,DMA,15.414999,-61.370976
Denmark,DNK,56.26392,9.501785
Dominican Republic,DOM,18.735693,-70.162651
Algeria,DZA,28.033886,1.659626
Ecuador,ECU,-1.831239,-78.183406
Egypt,EGY,26.820553,30.802498
Eritrea,ERI,15.179384,39.782334
Western Sahara,ESH,24.215527,-12.885834
Spain,ESP,40.463667,-3.74922
Estonia,EST,58.595272,25.013607
Ethiopia,ETH,9.145,40.489673
Finland,FIN,61.92411,25.748151
Fiji,FJI,-16.578193,179.414413
Falkland Islands,FLK,-51.796253,-59.523613
Falkland Islands [Islas Malvinas],FLK,-51.796253,-59.523613
Falkland Islands (Malvinas),FLK,-51.796253,-59.523613
France,FRA,46.227638,2.213749
Faroe Islands,FRO,61.892635,-6.911806
Micronesia,FSM,7.425554,150.550812
"Micronesia, Federated States of",FSM,7.425554,150.550812
Micronesia (Federated States of),FSM,7.425554,150.550812
Gabon,GAB,-0.803689,11.609444
England,GB-ENG,52.537312,-0.845502
Northern Ireland,GB-NIR,54.7,-6.7
Scotland,GB-SCT,56.7,-4.2
Wales,GB-WLS,52.3,-3.6
United Kingdom,GBR,55.378051,-3.435973
United Kingdom of Great Britain and Northern Ireland,GBR,55.378051,-3.435973
Georgia,GEO,42.315407,43.356892
Guernsey,GGY,49.465691,-2.585278
Ghana,GHA,7.946527,-1.023194
Gibraltar,GIB,36.137741,-5.345374
Guinea,GIN,9.945587,-9.696645
Guadeloupe,GLP,16.995971,-62.067641
Gambia,GMB,13.443182,-15.310139
The Gambia,GMB,13.443182,-15.310139
Guinea-Bissau,GNB,11.803749,-15.180413
Equatorial Guinea,GNQ,1.650801,10.267895
Greece,GRC,39.074208,21.824312
Grenada,GRD,12.262776,-61.604171
Greenland,GRL,71.706936,-42.604303
Guatemala,GTM,15.783471,-90.230759
French Guiana,GUF,3.933889,-53.125782
Guam,GUM,13.444304,144.793731
Guyana,GUY,4.860416,-58.93018
Hong Kong,HKG,22.396428,114.109497
Heard Island and McDonald Islands,HMD,-53.08181,73.504158
Honduras,HND,15.199999,-86.241905
Croatia,HRV,45.1,15.2
Haiti,HTI,18.971187,-72.285215
Hungary,HUN,47.162494,19.503304
Upper Volta,HVO,12.266667,-2.066667
Indonesia,IDN,-0.789275,113.921327
Isle of Man,IMN,54.236107,-4.548056
India,IND,20.593684,78.96288
British Indian Ocean Territory,IOT,-6.343194,71.876519
Ireland,IRL,53.41291,-8.24389
Iran,IRN,32.427908,53.688046
Iran (Islamic Republic of),IRN,32.427908,53.688046
Iraq,IRQ,33.223191,43.679291
Iceland,ISL,64.963051,-19.020835
Israel,ISR,31.046051,34.851612
Italy,ITA,41.87194,12.56738
Jamaica,JAM,18.109581,-77.297508
Jersey,JEY,49.214439,-2.13125
Jordan,JOR,30.585164,36.238414
Japan,JPN,36.204824,138.252924
Kazakhstan,KAZ,48.019573,66.923684
Kenya,KEN,-0.023559,37.906193
Kyrgyzstan,KGZ,41.20438,74.766098
Cambodia,KHM,12.565679,104.990963
Kiribati,KIR,-3.370417,-168.734039
Saint Kitts and Nevis,KNA,17.357822,-62.782998
"Korea, Republic of (South)",KOR,35.907757,127.766922
South Korea,KOR,35.907757,127.766922
"Korea, Republic of",KOR,35.907757,127.766922
Kuwait,KWT,29.31166,47.481766
Laos,LAO,19.85627,102.495496
Lao People's Democratic Republic,LAO,19.85627,102.495496
Lebanon,LBN,33.854721,35.862285
Liberia,LBR,6.428055,-9.429499
Libya,LBY,26.3351,17.228331
Saint Lucia,LCA,13.909444,-60.978893
Liechtenstein,LIE,47.166,9.555373
Sri Lanka,LKA,7.873054,80.771797
Ceylon,,7.873054,80.771797
Lesotho,LSO,-29.609988,28.233608
Lithuania,LTU,55.169438,23.881275
Luxembourg,LUX,49.815273,6.129583
Latvia,LVA,56.879635,24.603189
Macau,MAC,22.198745,113.543873
Macao,MAC,22.198745,113.543873
Saint Martin (French part),MAF,18.082502,-63.051991
Morocco,MAR,31.791702,-7.09262
Monaco,MCO,43.750298,7.412841
Moldova,MDA,47.411631,28.369885
"Moldova, Republic of",MDA,47.411631,28.369885
Madagascar,MDG,-18.766947,46.869107
Maldives,MDV,3.202778,73.22068
Mexico,MEX,23.634501,-102.552784
Marshall Islands,MHL,7.131474,171.184478
North Macedonia,MKD,41.608635,21.745275
Macedonia [FYROM],MKD,41.608635,21.745275
Mali,MLI,17.570692,-3.996166
Malta,MLT,35.937496,14.375416
Montenegro,MNE,42.708678,19.37439
Mongolia,MNG,46.862496,103.846656
Northern Mariana Islands,MNP,17.33083,145.38469
Mozambique,MOZ,-18.665695,35.529562
Mauritania,MRT,21.00789,-10.940835
Montserrat,MSR,16.742498,-62.187366
Martinique,MTQ,14.641528,-61.024174
Mauritius,MUS,-20.348404,57.552152
Malawi,MWI,-13.254308,34.301525
Malaysia,MYS,4.210484,101.975766
Mayotte,MYT,-12.8275,45.166244
Namibia,NAM,-22.95764,18.49041
New Caledonia,NCL,-20.904305,165.618042
Niger,NER,17.607789,8.081666
Norfolk Island,NFK,-29.040835,167.954712
Nigeria,NGA,9.081999,8.675277
Nicaragua,NIC,12.865416,-85.207229
Niue,NIU,-19.054445,-169.867233
Netherlands,NLD,52.132633,5.291266
Norway,NOR,60.472024,8.468946
Nepal,NPL,28.394857,84.124008
Nauru,NRU,-0.522778,166.931503
New Zealand,NZL,-40.900557,174.885971
Oman,OMN,21.512583,55.923255
Pakistan,PAK,30.375321,69.345116
Panama,PAN,8.537981,-80.782127
Pitcairn Islands,PCN,-24.703615,-127.439308
Pitcairn,PCN,-24.703615,-127.439308
Peru,PER,-9.189967,-75.015152
Philippines,PHL,12.879721,121.774017
Palau,PLW,7.51498,134.58252
Papua New Guinea,PNG,-6.314993,143.95555
Poland,POL,51.919438,19.145136
Puerto Rico,PRI,18.220833,-66.590149
North Korea,PRK,40.339852,127.510093
Korea (Democratic People's Republic of),PRK,40.339852,127.510093
Portugal,PRT,39.399872,-8.224454
Paraguay,PRY,-23.442503,-58.443832
"Palestine, State of",PSE,31.952162,35.233154
Palestinian Territories,PSE,31.952162,35.233154
French Polynesia,PYF,-17.679742,-149.406843
Qatar,QAT,25.354826,51.183884
Réunion,REU,-21.115141,55.536384
Rhodesia,RHO,-19.015438,29.154857
Southern Rhodesia,RHO,-19.015438,29.154857
Zimbabwe,ZWE,-19.015438,29.154857
Romania,ROU,45.943161,24.96676
Russian Federation,RUS,61.52401,105.318756
Russia,RUS,61.52401,105.318756
Rwanda,RWA,-1.940278,29.873888
Saudi Arabia,SAU,23.885942,45.079162
Serbia and Montenegro,SCG,44.816667,20.466667
Sudan,SDN,12.862807,30.217636
Senegal,SEN,14.497401,-14.452362
Singapore,SGP,1.352083,103.819836
South Georgia and the South Sandwich Islands,SGS,-54.429579,-36.587909
"Saint Helena, Ascension and Tristan da Cunha",SHN,-24.143474,-10.030696
Saint Helena,SHN,-24.143474,-10.030696
Svalbard and Jan Mayen,SJM,77.553604,23.670272
Solomon Islands,SLB,-9.64571,160.156194
Sierra Leone,SLE,8.460555,-11.779889
El Salvador,SLV,13.794185,-88.89653
San Marino,SMR,43.94236,12.457777
Somalia,SOM,5.152149,46.199616
Saint Pierre and Miquelon,SPM,46.941936,-56.27111
Serbia,SRB,44.016521,21.005859
South Sudan,SSD,8.0,30.0
São Tomé and Príncipe,STP,0.18636,6.613081
Sao Tome and Principe,STP,0.18636,6.613081
Soviet Union,SUN,61.52401,105.318756
Suriname,SUR,3.919305,-56.027783
Slovakia,SVK,48.669026,19.699024
Slovenia,SVN,46.151241,14.995463
Sweden,SWE,60.128161,18.643501
Eswatini,SWZ,-26.522503,31.465866
Swaziland,SWZ,-26.522503,31.465866
Sint Maarten (Dutch part),SXM,18.04258,-63.056017
Seychelles,SYC,-4.679574,55.491977
Syria,SYR,34.802075,38.996815
Syrian Arab Republic,SYR,34.802075,38.996815
Turks and Caicos Islands,TCA,21.694025,-71.797928
Chad,TCD,15.454166,18.732207
Togo,TGO,8.619543,0.824782
Thailand,THA,15.870032,100.992541
Tajikistan,TJK,38.861034,71.276093
Tokelau,TKL,-8.967363,-171.855881
Turkmenistan,TKM,38.969719,59.556278
Timor-Leste,TLS,-8.874217,125.727539
Tonga,TON,-21.178986,-175.198242
Trinidad and Tobago,TTO,10.691803,-61.222503
Tunisia,TUN,33.886917,9.537499
Turkey,TUR,38.963745,35.243322
Tuvalu,TUV,-7.109535,177.64933
Taiwan,TWN,23.69781,120.960515
"Taiwan, Province of China",TWN,23.69781,120.960515
Tanzania,TZA,-6.369028,34.888822
"Tanzania, United Republic of",TZA,-6.369028,34.888822
Uganda,UGA,1.373333,32.290275
Ukraine,UKR,48.379433,31.16558
Uruguay,URY,-32.522779,-55.765835
United States of America,USA,37.09024,-95.712891
United States,USA,37.09024,-95.712891
Uzbekistan,UZB,41.377491,64.585262
Vatican City,VAT,41.902916,12.453389
Vatican City State,VAT,41.902916,12.453389
Holy See,VAT,41.902916,12.453389
Saint Vincent and the Grenadines,VCT,12.984305,-61.287228
North Vietnam,VDR,21.028333,105.854167
"Viet-Nam, Democratic Republic of",VDR,21.028333,105.854167
Venezuela,VEN,6.42375,-66.58973
Venezuela (Bolivarian Republic of),VEN,6.42375,-66.58973
British Virgin Islands,VGB,18.420695,-64.639968
Virgin Islands (British),VGB,18.420695,-64.639968
U.S. Virgin Islands,VIR,18.335765,-64.896335
United States Virgin Islands,VIR,18.335765,-64.896335
Virgin Islands (U.S.),VIR,18.335765,-64.896335
Viet Nam,VNM,14.058324,108.277199
Vietnam,VNM,14.058324,108.277199
Vanuatu,VUT,-15.376706,166.959158
Wallis and Futuna,WLF,-13.768752,-177.156097
Samoa,WSM,-13.759029,-172.104629
North Yemen,YEM,15.354722,44.206667
Yemen,YEM,15.552727,48.516388
South Yemen,YMD,12.8,45.033333
Yugoslavia,YUG,44.816667,20.45
"Yugoslavia, Federal Republic of",YUG,44.816667,20.45
South Africa,ZAF,-30.559482,22.937506
Zambia,ZMB,-13.133897,27.849332
Kosovo,,42.602636,20.902977
British Honduras,,17.189877,-88.49765
North Borneo,,5.25,117.0
Northern Rhodesia,,-13.133897,27.849332
 Australasia,,-41.0,124.0
 Australasia,,-41.0,124.0
 Bohemia,,49.83,14.33
